Stanox,Latitude,Longitude
38185,53.3947091,-3.013679369
38153,53.39742099,-3.039100027
66412,52.47188576,-1.877763566
69215,52.45081994,-1.725849596
66411,52.47909209,-1.892467528
66409,52.4833682,-1.899083435
15826,54.65720308,-1.67772483
15827,54.65720304,-1.67770933
6443,55.90387155,-4.22490102
83014,51.05458018,-3.19433986
47412,51.86669731,0.164920455
88238,50.78013642,0.082784726
7132,55.90225639,-4.500470053
86216,50.9182098,-1.376989941
29150,53.74652962,-2.479120078
87245,51.51180962,-0.103306268
88416,51.46579479,0.008897643
51555,51.58660552,-0.041209759
30034,53.78796514,-3.053872869
30033,53.79871355,-3.048934526
7328,55.88424595,-3.750787318
30221,53.59153575,-2.569523003
87009,51.33157995,-0.77672369
40066,52.99456259,-3.938601244
3101,56.76553254,-3.850224965
6714,55.86644522,-4.043279173
65343,52.60489912,-1.844907482
65938,52.40641331,-2.176860441
7486,55.79732043,-4.086957913
13403,54.96579396,-1.712593421
55505,53.04138346,-0.943683056
70306,51.99534239,-0.736299323
65519,52.6182146,-2.011471977
65517,52.62545064,-2.017678403
36068,53.48769819,-3.039857511
43503,52.96815883,-2.066959563
85011,50.44584971,-4.662967284
40017,53.20431814,-4.418009727
86441,50.78654719,-0.676157289
7028,55.93703367,-4.711381337
24011,53.51896404,-1.311547714
87072,51.2887349,-0.383997798
11209,54.29130898,-3.39386196
36071,53.45340314,-2.994746312
89401,51.29321599,0.306272399
64604,52.49104119,-4.050186155
86373,50.84273664,-0.847412807
44212,52.97811239,-0.030995295
44511,52.94463426,-0.794837588
74014,51.57711942,-0.710454254
86921,50.72726036,-1.86449449
66503,52.42697597,-1.926417547
62055,52.00430903,-0.696056247
53309,51.60701289,-0.120556692
6203,55.9310715,-4.493825655
87686,51.25400779,-0.328466868
87101,51.41309089,-0.751686679
17019,53.79693761,-1.752964956
18641,53.79108847,-1.74959902
82075,51.34490912,-2.252323873
86295,50.67835848,-1.138711732
50204,51.87539928,0.556715157
50205,51.86942394,0.568463249
32579,53.36062796,-2.163591846
86061,51.33029203,-1.060983334
18654,53.80536274,-1.637210797
49105,52.39545587,1.543839831
13302,54.93239525,-2.702952119
7005,55.9405881,-4.80352799
46264,52.45402424,0.62475586
86927,50.7269512,-1.919748901
10195,54.43936811,-3.541824942
32065,53.42316808,-2.110486466
4088,55.8273075,-3.668118545
87144,51.48754556,-0.309628918
50331,51.61360621,0.299613393
71036,51.70543119,-0.359091797
34201,53.26073569,-1.912861971
3165,56.15662723,-3.957220732
6037,56.51585202,-4.76297764
79791,51.50697267,-3.575291632
7269,55.84895654,-4.226042205
81924,51.12784997,-2.990413184
19007,54.08414985,-0.198733604
29036,53.82399296,-2.236491284
26001,53.54916451,-0.486127705
18455,53.69821088,-1.77944087
87980,50.82899702,-0.141252426
51914,51.65558359,-0.030791003
32064,53.43213123,-2.135118179
81109,51.51379846,-2.542164249
81700,51.44914056,-2.581316872
78349,51.71030408,-3.22872981
79600,51.63789875,-3.819268215
87248,51.46329792,-0.114157681
36602,53.40651765,-2.893483634
32232,53.44098845,-2.01651928
89474,51.36068018,1.43358625
